Source,Target,Type
1129941670777110528,14,Undirected
1129718436219670528,10,Undirected
1128824885193596928,11,Undirected
1128127969577193472,12,Undirected
1129218119766073344,10,Undirected
1129707304855715840,10,Undirected
1129413980739399686,12,Undirected
1129577060408578048,14,Undirected
1128505775721025536,11,Undirected
1129699422382592001,14,Undirected
1129635010552590336,14,Undirected
1128809158143123460,11,Undirected
1129282440567111682,10,Undirected
1128585236726501377,10,Undirected
1128625738783965184,12,Undirected
1127058363374694400,11,Undirected
1128435645695778817,11,Undirected
1129697688444985344,12,Undirected
1129637985022926848,13,Undirected
1129530090767826945,10,Undirected
1129527298284298240,14,Undirected
1129542953863667715,11,Undirected
1128112384675946497,12,Undirected
1128565059100135425,10,Undirected
1128515816444399618,12,Undirected
1129690878786691072,12,Undirected
1128538106775269376,12,Undirected
1130317843059232768,12,Undirected
1129172101103927297,11,Undirected
1128459047974293504,10,Undirected
1129639563280887808,13,Undirected
1129910318644092928,12,Undirected
1130349047749808128,10,Undirected
1128124168854073344,11,Undirected
1129929166357319683,10,Undirected
1128242417780420611,11,Undirected
1127050405433581570,12,Undirected
1129546909490778112,12,Undirected
1129708341549096961,13,Undirected
1128969609044996096,12,Undirected
1129514893915222016,11,Undirected
1129575699314925568,12,Undirected
1127899850052227072,13,Undirected
1127350633822998528,10,Undirected
1129883396765732864,10,Undirected
1129873869915865088,10,Undirected
1129681693437190150,10,Undirected
1130274507350921216,10,Undirected
1130362974634369024,10,Undirected
1127385185283035136,12,Undirected
1128105826260897792,12,Undirected
1129700731143856128,10,Undirected
1127047176276860928,12,Undirected
1129126519048232960,12,Undirected
1129502037480050688,10,Undirected
1129684856256966656,12,Undirected
1128913196746588160,12,Undirected
1129493907341959168,11,Undirected
1129689339607207942,11,Undirected
1130047007542923264,11,Undirected
1128807154805137408,12,Undirected
1128979213032148993,13,Undirected
1127203411416322049,11,Undirected
1127773940187688960,12,Undirected
1128231402980294656,10,Undirected
1129696001604743168,13,Undirected
1129726964196085763,10,Undirected
1128454214294724610,13,Undirected
1129209462651179009,11,Undirected
1129713211349934080,13,Undirected
1129706420062998528,10,Undirected
1128630990186770433,10,Undirected
1128979750968385537,11,Undirected
1127380757675106304,11,Undirected
1127032957040902144,11,Undirected
1127379777160077313,11,Undirected
1127393425786003456,10,Undirected
1129704914941140993,12,Undirected
1130047185226043392,12,Undirected
1128435287581908992,10,Undirected
1129543141558587392,12,Undirected
1129153632081829888,14,Undirected
1129535017028165632,14,Undirected
1129721236185993217,11,Undirected
1127913904317747201,12,Undirected
1128917071318855680,11,Undirected
1129701114603921408,10,Undirected
1129739734274772993,12,Undirected
1127799094775205889,11,Undirected
1127791839271059457,12,Undirected
1129225982055931904,11,Undirected
1127348351907667968,11,Undirected
1130409365272440835,12,Undirected
1128982341517340673,12,Undirected
1129744132786786304,11,Undirected
1129691485748596736,13,Undirected
1129530461200367616,12,Undirected
1130226154823008256,11,Undirected
1129712270307540992,11,Undirected
1129299331683561472,10,Undirected
1130363625044975616,11,Undirected
1127199299278737409,12,Undirected
1128192550366396417,10,Undirected
1129615799264485379,11,Undirected
1129979849983102977,11,Undirected
1128959295444332545,12,Undirected
1127782532651466753,10,Undirected
1129706393135484928,10,Undirected
1130203358420058112,10,Undirected
1128924630465433600,12,Undirected
1129268127554916353,12,Undirected
1130100834144907265,14,Undirected
1130295564560506880,11,Undirected
1129704774306107393,11,Undirected
1129699134582054912,14,Undirected
1127790777814245376,12,Undirected
1129684102188109824,12,Undirected
1129626186219282433,14,Undirected
1129736683530928129,14,Undirected
1129702715490070528,11,Undirected
1129206858718179328,12,Undirected
1127679262285131776,10,Undirected
1129523239619837952,12,Undirected
1128508808949485568,11,Undirected
1127508181876215808,12,Undirected
1129680200613081088,14,Undirected
1129512318717456384,11,Undirected
1129996715321372672,12,Undirected
1128078769019858944,12,Undirected
1126981608131551232,12,Undirected
1127093667217301504,12,Undirected
1128767128860004358,12,Undirected
1129711077120339968,10,Undirected
1128858233341263872,10,Undirected
1129870961052831744,13,Undirected
1128952308383928320,10,Undirected
1129724670989750272,10,Undirected
1129733309007892487,10,Undirected
1129292496024944640,11,Undirected
1127369057131347968,11,Undirected
1128484092897456128,14,Undirected
1128284610222145536,10,Undirected
1129722001315258368,10,Undirected
1126987801415733249,12,Undirected
1129204011662336000,14,Undirected
1129496596188618757,10,Undirected
1129304331356819457,11,Undirected
1129712049150341121,12,Undirected
1127309760619925504,10,Undirected
1128075918851756032,10,Undirected
1127915420495646720,12,Undirected
1129271622303531008,11,Undirected
1127863803994038272,12,Undirected
1129997510435409920,10,Undirected
1127506158862733319,13,Undirected
1130313915588521985,10,Undirected
1129003190601437185,13,Undirected
1129707283435229185,12,Undirected
1128582034345975808,10,Undirected
1130336904958734336,11,Undirected
1129772693409193986,10,Undirected
1128779650472112130,11,Undirected
1128910266370994177,10,Undirected
1129711355160776710,10,Undirected
1129879306451034112,10,Undirected
1130282145203666944,11,Undirected
1130317267512598528,12,Undirected
1129697551425232896,12,Undirected
1129728905508790272,12,Undirected
1128234939126669312,12,Undirected
1127709978230288384,12,Undirected
1129752271951147012,14,Undirected
1129564258620985344,12,Undirected
