Source,Target,Type
1127545554727079936,10,Undirected
1130392948527443969,12,Undirected
1128531373910679552,11,Undirected
1129521920213278720,12,Undirected
1129682365242994688,12,Undirected
1129914862186815488,10,Undirected
1129743255619481600,14,Undirected
1129306736228048897,11,Undirected
1129578856308830208,11,Undirected
1129191332826587141,12,Undirected
1130032425839484928,10,Undirected
1130374627706806272,10,Undirected
1128659831185764354,10,Undirected
1128499993294204928,12,Undirected
1129969254911004674,14,Undirected
1127684040448864256,11,Undirected
1127371418939691008,10,Undirected
1127022096385695745,12,Undirected
1128770973577072640,11,Undirected
1129709977889693697,12,Undirected
1128488939520544768,11,Undirected
1129599568843235330,10,Undirected
1129703984061489152,12,Undirected
1129744916727439362,10,Undirected
1129714318121902080,14,Undirected
1127411924121964546,12,Undirected
1129744274298429441,12,Undirected
1128520057280057344,10,Undirected
1129657714840223745,14,Undirected
1128049116485808128,11,Undirected
1129663727148494850,12,Undirected
1129618010988322816,11,Undirected
1129929545396568064,10,Undirected
1128792832016244736,12,Undirected
1129743246056468485,10,Undirected
1127651714822107136,12,Undirected
1129589388495556608,14,Undirected
1129262290228744197,10,Undirected
1127206492883410944,11,Undirected
1127814966524796928,10,Undirected
1129860639109730305,14,Undirected
1127728692438786048,14,Undirected
1129562851985674240,10,Undirected
1128513444062191616,10,Undirected
1129521618370252800,12,Undirected
1129713721645813762,11,Undirected
1128915421464125440,14,Undirected
1129724109569572868,10,Undirected
1127851922029928448,10,Undirected
1130294183204253697,12,Undirected
1128413254743511041,12,Undirected
1127012233840488448,13,Undirected
1129538755612647428,12,Undirected
1130272193928155136,12,Undirected
1127131021751668736,10,Undirected
1129727473665683456,10,Undirected
1129920358142828544,12,Undirected
1127778419410853888,10,Undirected
1128768070170755072,10,Undirected
1127906544501305344,12,Undirected
1127431382811103232,10,Undirected
1128827576837988352,14,Undirected
1128162138365632512,11,Undirected
1128500554227900416,12,Undirected
1129506513955897344,12,Undirected
1130370941056274433,12,Undirected
1129664469150257152,13,Undirected
1129578324118757376,12,Undirected
1129684901362425858,12,Undirected
1129260074428354561,12,Undirected
1127817522403655680,10,Undirected
1128834104605126656,12,Undirected
1129623884536242176,10,Undirected
1129213447642800129,11,Undirected
1128633180523622406,10,Undirected
1129919174728224768,10,Undirected
1127756797358436352,12,Undirected
1128914605743325185,10,Undirected
1127854971159027717,12,Undirected
1130065683000233984,11,Undirected
1127032707068731392,11,Undirected
1127699600683331584,12,Undirected
1129733202766180352,13,Undirected
1128771635853422592,10,Undirected
1128971415028285440,14,Undirected
1127814801411887104,13,Undirected
1129453849251467264,12,Undirected
